"Product Name","Product Code","Buy Rate","Sale Rate","Measurement Units","Description","Current Stock","Minimum Stock","Opening Stock","Opening Stock Rate","Opening Date","Tax Rate","Tax List","Supplier Name","Suggested Reorder QTY : <font color=#2096F3><b>%1$s</b></font> %2$s"
"Col Scotch Electrical","N/A","1.0","1.0","Pcs","N/A","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"Main  d'heurve","N/A","500.0","500.0","Pcs ","10 Panels","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"Ouvrier","N/A","20.0","30.0","Day ","N/A","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"Car use","N/A","15.0","20.0","Day","N/A","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"Qualité contrôle","N/A","100.0","120.0","Day","N/A","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"Coper rods 20 mm x1, 5 m","N/A","15.0","20.0","Pcs ","N/A","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"Cable 2x6mm","N/A","3.5","4.0","Mettre","Ac","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"Cable 70mm earth","N/A","10.0","15.0","Mettre","N/A","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"Cable 6mm earth","N/A","1.0","1.5","Mettre","N/A","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"Clamp for earth cable","N/A","10.0","13.0","Pcs ","N/A","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"Box out door 20x20","N/A","4.0","7.0","Pcs","N/A","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"Tube 16mm","N/A","0.2","0.5","Mettre","N/A","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"Copper bar3x5mm","N/A","18.5","25.0","Pcs ","N/A","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"Copper screws 27","N/A","40.0","50.0","Pcs","N/A","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"Reamer for the copper bar","N/A","30.0","35.0","Pcs","N/A","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"Bentonite Clay","N/A","25.0","30.0","Kg","N/A","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"Copper clamp 70mm with copper bolts","N/A","15.0","20.0","Pcs","N/A","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"Pvc 25mm","N/A","0.8","1.0","Pcs ","N/A","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"Box out 10x10","N/A","2.0","3.0","Pcs ","N/A","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"Cach cable 4x4","N/A","1.5","2.0","Mettre","N/A","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"Wire 2x1,5","N/A","0.6","0.75","Mettre","N/A","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"Box 12 module","N/A","12.0","13.0","Pcs","N/A","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"AC breaker 5A","N/A","2.0","3.0","Pcs","N/A","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"Weire 2x2","N/A","0.7","1.0","Mettre","N/A","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
